Outline Level,ID,Name,Start,Finish,Duration,% Complete,Predecessors,Resource Names,Color,Notes
1,1,"Initial Planning",2024-01-08,2024-01-31,24 day,86,"","Aryan Thakre,Soham Dorage,Vedang Dharmadikari",,"<p><br></p>"
2,2,"Problem statement finalization",2024-01-08,2024-01-19,12 day,100,"","",31,"<p><br></p>"
2,3,"Project Plan and Requirement Analysis",2024-01-20,2024-01-31,12 day,90,"2FS","",61,"<p><br></p>"
2,4,"Feature and Functionality Planning",2024-01-29,2024-01-31,3 day,20,"3FS-3 days","",91,"<p><br></p>"
1,5,"Detailed design according to functionality",2024-02-01,2024-02-05,5 day,0,"4FS","Aryan Thakre,Soham Dorage,Vedang Dharmadikari",121,"<p><br></p>"
1,6,"Database Modelling",2024-02-06,2024-02-10,5 day,0,"5FS","Aryan Thakre,Soham Dorage,Vedang Dharmadikari",151,"<p><br></p>"
1,7,"Studying of Analytical Algorithm",2024-02-15,2024-02-22,8 day,0,"","Aryan Thakre",181,"<p><br></p>"
1,8,"Learning implementation of web technologies being used in the project",2024-01-29,2024-02-24,27 day,0,"","Soham Dorage,Vedang Dharmadikari",211,"<p><br></p>"
1,9,"Developing Sponsor and Event organiser Login/Register Functionality",2024-02-11,2024-02-14,4 day,0,"6FS","Soham Dorage",241,"<p><br></p>"
1,17,"Profile Feature",2024-02-15,2024-02-24,10 day,0,"9FS","Vedang Dharmadikari",271,"<p><br></p>"
1,10,"Dashboard Functionality(Event creation)",2024-02-25,2024-03-01,6 day,0,"17FS","Aryan Thakre",301,"<p><br></p>"
1,11,"Searching Functionality for Event and Sponsor",2024-03-02,2024-03-08,7 day,0,"10FS","Soham Dorage,Aryan Thakre",331,"<p><br></p>"
1,13,"Email Notification",2024-03-09,2024-03-15,7 day,0,"11FS","Aryan Thakre,Vedang Dharmadikari",31,"<p><br></p>"
1,14,"Status Feature",2024-03-16,2024-03-19,4 day,0,"13FS","Vedang Dharmadikari",61,"<p><br></p>"
1,15,"Chat Feature Implementation",2024-03-20,2024-03-26,7 day,0,"14FS","Soham Dorage",91,"<p><br></p>"
1,16,"Feedback and Rating System",2024-03-27,2024-04-01,6 day,0,"15FS","Aryan Thakre",151,"<p><br></p>"
1,18,"Testing",2024-04-02,2024-04-08,7 day,0,"16FS","Aryan Thakre,Soham Dorage,Vedang Dharmadikari",211,"<p><br></p>"
1,19,"Documentation",2024-04-09,2024-04-13,5 day,0,"18FS","Aryan Thakre,Soham Dorage,Vedang Dharmadikari",271,"<p><br></p>"
